MERCADO,CATEGORIA,MARCA,VARIABLES,RY 2023,RY 2024
T. CAM,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Valor,"$550,000,617","$539,145,117"
T. CAM,ACEITES Y MANTECAS,CLOVER,Vtas Valor,"$51,481,198","$44,151,093"
T. CAM,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas Valor,"$89,307,697","$85,952,201"
T. CAM,ACEITES Y MANTECAS,IDEAL,Vtas Valor,"$39,457,736","$39,714,642"
T. CAM,ACEITES Y MANTECAS,MAZOLA,Vtas Valor,"$59,389,150","$62,853,425"
T. CAM,ACEITES Y MANTECAS,O.MARCAS,Vtas Valor,"$74,805,265","$78,333,355"
T. CAM,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas (MULTI),"171,589,607","177,181,586"
T. CAM,ACEITES Y MANTECAS,CLOVER,Vtas (MULTI),"16,114,191","15,244,170"
T. CAM,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas (MULTI),"29,481,311","32,274,617"
T. CAM,ACEITES Y MANTECAS,IDEAL,Vtas (MULTI),"12,287,981","12,175,176"
T. CAM,ACEITES Y MANTECAS,MAZOLA,Vtas (MULTI),"18,211,399","19,686,570"
T. CAM,ACEITES Y MANTECAS,O.MARCAS,Vtas (MULTI),"26,277,741","28,395,164"
T. CAM,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Vtas Unds,"241,262,427","242,533,069"
T. CAM,ACEITES Y MANTECAS,CLOVER,Vtas Unds,"26,472,256","24,556,584"
T. CAM,ACEITES Y MANTECAS,CONTROLLED LABEL,Vtas Unds,"32,567,556","34,271,253"
T. CAM,ACEITES Y MANTECAS,IDEAL,Vtas Unds,"21,315,730","20,974,556"
T. CAM,ACEITES Y MANTECAS,MAZOLA,Vtas Unds,"24,984,782","26,711,090"
T. CAM,ACEITES Y MANTECAS,O.MARCAS,Vtas Unds,"34,456,060","35,224,682"
T. CAM,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Valor - CATEGORIA,100.0%,100.0%
T. CAM,ACEITES Y MANTECAS,CLOVER,Part. de Vtas Valor - CATEGORIA,9.4%,8.2%
T. CAM,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Valor - CATEGORIA,16.2%,15.9%
T. CAM,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Valor - CATEGORIA,7.2%,7.4%
T. CAM,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Valor - CATEGORIA,10.8%,11.7%
T. CAM,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas Valor - CATEGORIA,13.6%,14.5%
T. CAM,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas (MULTI) - CATEGORIA,100.0%,100.0%
T. CAM,ACEITES Y MANTECAS,CLOVER,Part. de Vtas (MULTI) - CATEGORIA,9.4%,8.6%
T. CAM,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas (MULTI) - CATEGORIA,17.2%,18.2%
T. CAM,ACEITES Y MANTECAS,IDEAL,Part. de Vtas (MULTI) - CATEGORIA,7.2%,6.9%
T. CAM,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas (MULTI) - CATEGORIA,10.6%,11.1%
T. CAM,ACEITES Y MANTECAS,O.MARCAS,Part. de Vtas (MULTI) - CATEGORIA,15.3%,16.0%
T. CAM,ACEITES Y MANTECAS,ACEITES Y MANTECAS,Part. de Vtas Unds - CATEGORIA,100.0%,100.0%
T. CAM,ACEITES Y MANTECAS,CLOVER,Part. de Vtas Unds - CATEGORIA,11.0%,10.1%
T. CAM,ACEITES Y MANTECAS,CONTROLLED LABEL,Part. de Vtas Unds - CATEGORIA,13.5%,14.1%
T. CAM,ACEITES Y MANTECAS,IDEAL,Part. de Vtas Unds - CATEGORIA,8.8%,8.6%
T. CAM,ACEITES Y MANTECAS,MAZOLA,Part. de Vtas Unds - CATEGORIA,10.4%,11.0%
