MERCADO,CATEGORIA,MARCA,VARIABLES,RY 2023,RY 2024
PERU,ACEITES COMESTIBLES,,Vtas Valor  USD (000)," 352,063 "," 320,028 "
PERU,ACEITES COMESTIBLES,M PROPIAS,Vtas Valor  USD (000)," 76,384 "," 59,488 "
PERU,ACEITES COMESTIBLES,PRIMOR,Vtas Valor  USD (000)," 58,376 "," 54,405 "
PERU,ACEITES COMESTIBLES,OTRAS MARCAS,Vtas Valor  USD (000)," 25,990 "," 40,755 "
PERU,ACEITES COMESTIBLES,MIRASOL,Vtas Valor  USD (000)," 56,629 "," 32,822 "
PERU,ACEITES COMESTIBLES,LA PATRONA,Vtas Valor  USD (000)," 15,189 "," 20,144 "
PERU,AGUAS,,Vtas Valor  USD (000)," 288,392 "," 313,374 "
PERU,AGUAS,CIELO,Vtas Valor  USD (000)," 114,849 "," 114,214 "
PERU,AGUAS,SAN LUIS,Vtas Valor  USD (000)," 53,947 "," 64,719 "
PERU,AGUAS,SAN MATEO,Vtas Valor  USD (000)," 35,123 "," 33,370 "
PERU,AGUAS,SAN CARLOS,Vtas Valor  USD (000)," 26,477 "," 27,871 "
PERU,AGUAS,LOA,Vtas Valor  USD (000)," 15,903 "," 23,867 "
PERU,AVENAS,,Vtas Valor  USD (000)," 44,256 "," 42,798 "
PERU,AVENAS,3 OSITOS,Vtas Valor  USD (000)," 18,604 "," 17,115 "
PERU,AVENAS,QUAKER,Vtas Valor  USD (000)," 14,152 "," 13,102 "
PERU,AVENAS,GRANO DE ORO (AGROIND.SANTA MARIA),Vtas Valor  USD (000)," 4,337 "," 5,079 "
PERU,AVENAS,SANTA CATALINA,Vtas Valor  USD (000)," 4,573 "," 4,726 "
PERU,AVENAS,O. MARCAS,Vtas Valor  USD (000)," 1,000 "," 1,382 "
PERU,BARRAS,,Vtas Valor  USD (000)," 4,736 "," 5,271 "
PERU,BARRAS,CEREAL BAR,Vtas Valor  USD (000)," 2,693 "," 2,807 "
PERU,BARRAS,O MARCAS,Vtas Valor  USD (000), 816 ," 1,262 "
PERU,BARRAS,NATURE VALLEY,Vtas Valor  USD (000), 238 , 283 
PERU,BARRAS,MAMALAMA,Vtas Valor  USD (000), 267 , 281 
PERU,BARRAS,WILD,Vtas Valor  USD (000), 212 , 207 
PERU,CAFE MOLIDO Y EN GRANO,,Vtas Valor  USD (000)," 19,177 "," 21,207 "
PERU,CAFE MOLIDO Y EN GRANO,CAFETAL SELECTO,Vtas Valor  USD (000)," 8,859 "," 9,436 "
PERU,CAFE MOLIDO Y EN GRANO,O.MARCAS,Vtas Valor  USD (000)," 3,263 "," 4,306 "
PERU,CAFE MOLIDO Y EN GRANO,ALTOMAYO GOURMET,Vtas Valor  USD (000)," 1,401 "," 1,533 "
PERU,CAFE MOLIDO Y EN GRANO,SELLO ROJO,Vtas Valor  USD (000)," 1,244 "," 1,428 "
PERU,CAFE MOLIDO Y EN GRANO,ALTOMAYO CLASICO,Vtas Valor  USD (000)," 1,322 "," 1,401 "
PERU,CAFE SOLUBLE Y MALTAS,,Vtas Valor  USD (000)," 119,255 "," 131,250 "
PERU,CAFE SOLUBLE Y MALTAS,ALTOMAYO,Vtas Valor  USD (000)," 45,876 "," 51,993 "
PERU,CAFE SOLUBLE Y MALTAS,NESCAFE,Vtas Valor  USD (000)," 49,424 "," 50,761 "
PERU,CAFE SOLUBLE Y MALTAS,ECCO,Vtas Valor  USD (000)," 10,258 "," 11,592 "
PERU,CAFE SOLUBLE Y MALTAS,CAFETAL,Vtas Valor  USD (000)," 1,705 "," 5,035 "
PERU,CAFE SOLUBLE Y MALTAS,O. MARCAS,Vtas Valor  USD (000)," 2,518 "," 3,191 "
PERU,CALDOS EN CUBO,,Vtas Valor  USD (000)," 26,321 "," 27,904 "
PERU,CALDOS EN CUBO,DONA GUSTA,Vtas Valor  USD (000)," 18,686 "," 20,991 "
PERU,CALDOS EN CUBO,MAGGI,Vtas Valor  USD (000)," 7,557 "," 6,861 "
PERU,CALDOS EN CUBO,O MARCAS,Vtas Valor  USD (000), 78 , 52 
PERU,CEPILLOS DENTALES,,Vtas Valor  USD (000)," 43,877 "," 44,824 "
PERU,CEPILLOS DENTALES,COLGATE,Vtas Valor  USD (000)," 19,242 "," 19,078 "
PERU,CEPILLOS DENTALES,ORAL B,Vtas Valor  USD (000)," 8,328 "," 9,326 "
PERU,CEPILLOS DENTALES,VITIS,Vtas Valor  USD (000)," 4,675 "," 5,426 "
PERU,CEPILLOS DENTALES,PRO,Vtas Valor  USD (000)," 3,513 "," 3,422 "
PERU,CEPILLOS DENTALES,KOLYNOS,Vtas Valor  USD (000)," 2,070 "," 1,795 "
PERU,CEREALES LISTOS,,Vtas Valor  USD (000)," 60,986 "," 62,895 "
PERU,CEREALES LISTOS,ANGEL,Vtas Valor  USD (000)," 40,317 "," 41,442 "
PERU,CEREALES LISTOS,O.MARCAS,Vtas Valor  USD (000)," 4,758 "," 5,960 "
